,play,situation,qtr,drive_num,pos_team,drive_plays,drive_yds,drive_time,down,yds_to_1st_down,field_pos,game_date,game_id,season,month,date_full,game_hour,stadium_city,away_team,home_team,away_team_final_score,home_team_final_score,game_week,yardline_100,passer,receiver,intended_receiver,pass_attempt,pass_comp,passing_yds,rusher,rush_yds,yds_gained_per_play,td,pass_td,rush_td,extra_point_attempt,extra_point_result,fg_attempt,fg_attempt_result,fg_attempt_distance,fg_kicker,kickoff_player,kickoff_yds,kickoff_returner,kickoff_ret_yds,punt,punt_td,punt_yds,punter,timeout,def_player_action,int,int_td,int_player,int_ret_yds,sack,sack_yds,fumble,fumble_td,fum_player,fum_force_player,fum_recov_player,fum_recov_team,penalty,penalty_type,penalty_yds,penalty_team,penalty_player
12,Pass,J. Weinreich pass complete to J. Loercks for 14 yards to the CC31 (N. Allsten).,1,3,Cologne Centurions,6,29,2:37,2nd,16,CC17,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,83,J. Weinreich,J. Loercks,J. Loercks,1,1,14,,,14,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,N. Allsten,0,0,,,0,,0,0,,,,,0,,0,,
13,Rush,"T. King rush for 7 yards to the CC38, 1ST DOWN CC (A. Isik,T. Bulusan).",1,3,Cologne Centurions,6,29,2:37,3rd,2,CC31,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,69,,,,0,0,,T. King,7,7,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,"A. Isik,T. Bulusan",0,0,,,0,,0,0,,,,,0,,0,,
14,Rush,"T. King rush for 11 yards to the CC49, 1ST DOWN CC (C. Walrond).",1,3,Cologne Centurions,6,29,2:37,1st,10,CC38,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,62,,,,0,0,,T. King,11,11,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,C. Walrond,0,0,,,0,,0,0,,,,,0,,0,,
15,Rush,T. King rush for loss of 2 yards to the CC47 (Z. Blair).,1,3,Cologne Centurions,6,29,2:37,1st,10,CC49,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,51,,,,0,0,,T. King,-2,-2,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,Z. Blair,0,0,,,0,,0,0,,,,,0,,0,,
16,Pass,"J. Weinreich pass incomplete to L. Geyer, PENALTY IR Defensive Offside (N. Mundicha) 5 yards to the IR48, NO PLAY.",1,3,Cologne Centurions,6,29,2:37,2nd,12,CC47,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,53,J. Weinreich,,"L. Geyer,",1,0,0,,,0,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,N. Mundicha,0,0,,,0,,0,0,,,,,0,,0,,
17,Pass,"J. Weinreich pass intercepted by T. Bulusan at the IR48, T. Bulusan return 49 yards to the CC3 (J. Weinreich).",1,3,Cologne Centurions,6,29,2:37,2nd,7,IR48,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,48,J. Weinreich,,,1,0,,,,0,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,J. Weinreich,1,0,T. Bulusan,49,0,,0,0,,,,,0,,0,,
18,Drive start,ISTANBUL RAMS drive start at 09:51.,1,4,Istanbul Rams,3,3,1:42,1st,0,CC03,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,3,,,,0,0,,,,0,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,,0,0,,,0,,0,0,,,,,0,,0,,
19,Rush,"T. J.-Fisher rush for loss of 6 yards to the CC9 (J. Voelker,N. Liesen).",1,4,Istanbul Rams,3,3,1:42,1st,0,CC03,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,3,,,,0,0,,T. J.-Fisher,-6,-6,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,"J. Voelker,N. Liesen",0,0,,,0,,0,0,,,,,0,,0,,
20,Rush,"J. Conwell rush for loss of 4 yards to the CC13, fumble by J. Conwell recovered by IR J. Conwell at CC13.",1,4,Istanbul Rams,3,3,1:42,2nd,0,CC09,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,9,,,,0,0,,J. Conwell,-4,-4,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,,0,0,,,0,,1,0,J. Conwell,,J. Conwell,Istanbul Rams,0,,0,,
21,Timeout,"Timeout Istanbul Rams, clock 08:15.",1,4,Istanbul Rams,3,3,1:42,3rd,0,CC13,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,13,,,,0,0,,,,0,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,1,,0,0,,,0,,0,0,,,,,0,,0,,
